Participante,Centro,Curso,Temario,Al menos 7h 30',Último tema terminado,Al menos ha visto un 75%,Actividad (#eventos),Numero de videos reproducidos,Numero de respuestas,Tiempo mirando videos,Tiempo siguiendo curso,Hora comienzo curso,Hora ultima actividad
a24,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:17:40.770248+01:00 CET Europe/Madrid,2025-03-21 12:17:42.020737+01:00 CET Europe/Madrid
e3,Servicios Sociales de Entrevias,SSdE,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:17:50.030012+01:00 CET Europe/Madrid,2025-03-21 12:17:51.618609+01:00 CET Europe/Madrid
a23,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:17:42.025024+01:00 CET Europe/Madrid,2025-03-21 12:17:43.819988+01:00 CET Europe/Madrid
m3,Prisión Alcalá-Meco. Módulo 1,PAM1,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:18:03.073221+01:00 CET Europe/Madrid,2025-03-21 12:18:04.525776+01:00 CET Europe/Madrid
p12,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:18:15.678883+01:00 CET Europe/Madrid,2025-03-21 12:18:17.264958+01:00 CET Europe/Madrid
a5,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:03,2025-03-21 12:17:13.576916+01:00 CET Europe/Madrid,2025-03-21 12:17:16.684346+01:00 CET Europe/Madrid
p18,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:18:50.961950+01:00 CET Europe/Madrid,2025-03-21 12:18:52.571566+01:00 CET Europe/Madrid
berta3,Espacio de Igualdad Berta Cáceres-Usera,EdIBC,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,292,0,73,,00:00:03,2025-03-21 12:16:35.139053+01:00 CET Europe/Madrid,2025-03-21 12:16:38.687666+01:00 CET Europe/Madrid
p17,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:18:46.262236+01:00 CET Europe/Madrid,2025-03-21 12:18:48.263464+01:00 CET Europe/Madrid
p1,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,292,0,73,,00:00:06,2025-03-21 12:18:23.209498+01:00 CET Europe/Madrid,2025-03-21 12:18:29.811520+01:00 CET Europe/Madrid
j2,Biblioteca Municipal Pública José Hierro,BMPJH,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:17:55.970987+01:00 CET Europe/Madrid,2025-03-21 12:17:57.332377+01:00 CET Europe/Madrid
carme1,Espacio de Igualdad Carme Chacón-Hortaleza,EdICC,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,292,0,73,,00:00:12,2025-03-21 12:16:44.571131+01:00 CET Europe/Madrid,2025-03-21 12:16:56.416196+01:00 CET Europe/Madrid
a21,CEPA José Luis Sampedro,CJLS,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:17:37.962029+01:00 CET Europe/Madrid,2025-03-21 12:17:39.413139+01:00 CET Europe/Madrid
