Participante,Centro,Curso,Temario,Al menos 7h 30',Último tema terminado,Al menos ha visto un 75%,Actividad (#eventos),Numero de videos reproducidos,Numero de respuestas,Tiempo mirando videos,Tiempo siguiendo curso,Hora comienzo curso,Hora ultima actividad
14,C037 - Centro de lectura María Moliner de Estremera,RETO037,RETOMadrID - Curso de uso básico de ordenador,true,false,true,598,66,71,04:56:28,07:57:49,2024-09-16 18:22:15.109000+02:00 CEST Europe/Madrid,2024-10-21 18:20:27.554000+02:00 CEST Europe/Madrid
3,C051 - Centro de Día Venecia de Camarma de Esteruelas,RETO051,RETOMadrID - Curso de uso básico de ordenador,false,false,false,117,10,24,00:43:50,01:23:51,2025-02-07 12:55:06.436000+01:00 CET Europe/Madrid,2025-03-04 13:02:39.540000+01:00 CET Europe/Madrid
21,C044 - Edificio Escuelas Centro Actividades de Belvis del Jarama,RETO044,RETOMadrID - Curso de uso básico de ordenador,true,true,true,749,66,68,04:53:27,08:46:02,2025-02-10 18:08:27.052000+01:00 CET Europe/Madrid,2025-02-17 11:18:51.241000+01:00 CET Europe/Madrid
prueba1,C100 - Rescofoil de Colmenar de Oreja,RETO100,RETOMadrID - Curso de uso básico de ordenador,false,false,false,90,1,18,00:10:08,01:14:22,2025-01-16 10:50:18.567000+01:00 CET Europe/Madrid,2025-01-16 12:04:40.689000+01:00 CET Europe/Madrid
11,C037 - Centro de lectura María Moliner de Estremera,RETO037,RETOMadrID - Curso de uso básico de ordenador,true,false,true,499,66,71,09:21:15,12:26:50,2024-08-19 18:10:47.443000+02:00 CEST Europe/Madrid,2025-01-16 18:40:48.511000+01:00 CET Europe/Madrid
7,C024 - Centro de Mayores de Prádena del Rincón,RETO024,RETOMadrID - Curso de uso básico de ordenador,true,false,true,488,66,71,04:47:47,08:21:03,2024-11-20 17:29:00.229000+01:00 CET Europe/Madrid,2025-01-27 12:31:34.785000+01:00 CET Europe/Madrid
7,C060 - Centro Polivalente Gargantilla de Lozoya,RETO060,RETOMadrID - Curso de uso básico de ordenador,false,false,false,355,31,28,02:39:42,06:45:50,2024-11-08 13:11:10.224000+01:00 CET Europe/Madrid,2025-02-25 13:37:29.268000+01:00 CET Europe/Madrid
1,C094 - Residencia de mayores Amavir de Humanes de Madrid,RETO094,RETOMadrID - Curso de uso básico de ordenador,false,false,false,154,15,23,00:55:51,01:40:37,2024-12-16 13:20:39.438000+01:00 CET Europe/Madrid,2025-01-10 13:08:43.463000+01:00 CET Europe/Madrid
5,C045 - Residencia Soto Fresnos de Soto del Real,RETO045,RETOMadrID - Curso de uso básico de ordenador,false,false,false,103,2,18,00:09:50,01:01:26,2025-03-27 10:11:41.798000+01:00 CET Europe/Madrid,2025-03-27 11:48:39.653000+01:00 CET Europe/Madrid
1,C031 - Biblioteca Municipal Casa Grande de Moralzarzal,RETO031,RETOMadrID - Curso de uso básico de ordenador,false,false,false,128,11,25,00:41:15,01:12:29,2024-07-11 12:51:42.173000+02:00 CEST Europe/Madrid,2024-07-15 14:46:35.612000+02:00 CEST Europe/Madrid
12,C029 - Casa de la Cultura de Villanueva de Perales,RETO029,RETOMadrID - Curso de uso básico de ordenador,true,false,true,579,66,71,05:43:29,08:41:40,2024-09-30 13:00:51.070000+02:00 CEST Europe/Madrid,2024-11-21 16:30:51.576000+01:00 CET Europe/Madrid
26,C091 - Centro de Mayores Antonio Machado de Humanes de Madrid,RETO091,RETOMadrID - Curso de uso básico de ordenador,true,false,true,600,64,71,05:10:39,09:38:12,2025-01-20 09:30:26.209000+01:00 CET Europe/Madrid,2025-03-12 10:50:02.467000+01:00 CET Europe/Madrid
